Gene	RF_Importance
RSPH1	0.0778178204270864
DPY19L2P4	0.0777636112138643
KRT5	0.0777530866037128
TPRXL	0.0776522442206632
ZBTB8B	0.077633555273417
FGD3	0.0775453057347028
LRRC56	0.0775253254636507
GNG4	0.0775190310721514
FBN3	0.0775143766246507
SEMA3C	0.0775106964049862
KLK8	0.0774495907563466
SCNN1A	0.0774031699769883
MSX2	0.0773730136054046
TNF	0.0773684853241186
PAPL	0.0773222508409746
ODAM	0.0772853760528164
EBF4	0.0772063349574854
KNDC1	0.0771117485152321
CAPN13	0.0770908106195524
FAT3	0.0770440296606303
RGR	0.0770440162924165
HRASLS2	0.0769874665267134
RNF182	0.0769513169388472
ZFP42	0.0769269305593312
GRIK3	0.0765322677964708
WNK4	0.0763288544240533
TUSC5	0.0760809306556451
PRTG	0.0759529542957264
TPRG1	0.0757696113860828
KIF1A	0.0753554529386333
UBD	0.0752801535140547
KRT81	0.0751597647514502
SDPR	0.0750797398805447
CTTNBP2	0.0750525392903435
DOK7	0.0748990049458182
PIP	0.074295140974675
PCSK1N	0.0742161395114832
IQGAP3	0.0741994551714838
DDN	0.0741533203310822
IL1F5	0.0740675109910059
SLC30A8	0.0739294927161788
PAX2	0.0737785345730826
CRABP1	0.0734606142026896
GLYATL2	0.0730659123063855
KCNG1	0.0730475408937333
MKRN3	0.0730441614104142
GJB6	0.0727352048361639
SCGB1D2	0.0726645836311121
HSPB8	0.0725960270290912
SPAG17	0.0724435179518471
MIA	0.0723711720032202
LOC100128977	0.072315027821817
C1orf173	0.0722510273568205
TOX3	0.0721044121454873
SHC4	0.0720315419442739
C9orf116	0.0718645552478789
EMX1	0.0718208772239462
OMD	0.0717054824449634
UPF0639	0.0713727420641961
C10orf79	0.0712764059553499
FOLR1	0.0707747206349706
CNGA1	0.0706807666421698
STK32B	0.0703890166892475
KRT23	0.070330486417466
LRP2	0.0702692170323449
CST2	0.0702448018407327
BARX1	0.0701478573697708
LOC100124692	0.0701288856277371
TLX1	0.0701191517426225
GAL	0.0699542656159355
SERPINB7	0.0699369416398323
FOXD1	0.0698754668424741
MMEL1	0.069776014652628
CPB1	0.069700914671009
TLX3	0.0695910859135704
TMC5	0.0695792364025719
PGM5	0.069352400346008
MELK	0.0693277000087968
FGF10	0.0692494766306843
CASQ1	0.0688386566321628
ATP13A5	0.0688015544502193
CLIC6	0.0687694557694788
GREB1L	0.06873632033863
SLC28A1	0.0686370022360072
TNNT1	0.0684708831932848
OPRK1	0.0681510769726229
LOC285629	0.0681044984238887
MS4A2	0.0680221820347878
LRRC46	0.0679607608825466
HEPACAM2	0.0678134259740349
NPNT	0.0676743799345767
SYT8	0.0675577897345806
AFP	0.0673866011107928
ZBTB16	0.0672795648979141
C7orf63	0.0672460738519327
AMBP	0.0672040309349133
GIPR	0.0671016100728928
TMEM171	0.0665289949019269
MAB21L1	0.0664876427535855
C9orf68	0.0664435994159526
NXPH1	0.0663371741130481
VSTM2A	0.0662415694024369
SCN2B	0.0662207052977284
HOXB2	0.0661934021866239
DUSP4	0.066037680721142
DIO1	0.0659548677512176
C21orf15	0.0658301048031217
ZFP57	0.0657426120139525
MMRN1	0.065714199859511
CLDN6	0.0656945567562778
TMEM232	0.0655164599244402
MSMB	0.0654129183816534
CCL20	0.0652364839111709
IL1R2	0.0650283102752086
HS6ST3	0.0650282724867232
CYP27C1	0.0648531032225252
ABCC12	0.0648033883869956
GATA2	0.0647238080224348
LUZP2	0.0646448852957668
C4orf7	0.0646176384802194
SLC6A17	0.0643823417105703
PLIN1	0.0641915197745886
BIRC5	0.0640179109596752
NEK10	0.0636960082012319
SLC26A3	0.0636271634198232
KIF18B	0.0635014854593592
PRDM13	0.0631144054606953
MS4A8B	0.0630260031255825
GPR156	0.0627321017773617
THBS4	0.0627035863669728
GNMT	0.0626128910207927
NPY1R	0.0625364113055109
SORCS1	0.0623978678280007
CYP4F12	0.0623956292993258
TUBA3D	0.0618878973177779
FABP4	0.0618547840452083
