Gene	RF_Importance	LASSO_Coefficient	Degree	logFC	adj.P.Val	Is_Mutated	Score
SLC16A6	0.250246088605084	0	0	-2.77866449716004	2.71262374666687e-41	FALSE	0.701298717706792
SCRG1	0.164426555534908	0	0	3.00080064817908	8.02425678362409e-37	FALSE	0.68859077585357
P4HTM	0.683669025413932	0	0	-1.58208545717787	3.56881233541046e-61	FALSE	0.664571003445706
CTSL2	0.463258800161432	0	0	2.17443095444927	4.00303522568715e-45	FALSE	0.661425656095006
MMP7	0.247868149532082	0	0	2.75390091992426	9.95540868951291e-29	FALSE	0.659181889024155
RIMS4	0.199355791186838	0	0	-2.87472260162601	3.8916631032775e-26	FALSE	0.645584465647418
S100A9	0.34684392579276	0	0	2.4758407640049	1.51770484340956e-19	FALSE	0.644295790957595
ABCA13	0.194865336999692	0	0	2.88448137654527	1.53169282136696e-38	FALSE	0.642401162782624
MIA	0.0723711720032202	0	0	3.21158438578906	1.24889614219858e-28	FALSE	0.637821616060553
UBASH3B	0.640562914078712	0	0	1.67138024501615	6.12994225109411e-47	FALSE	0.628090251474161
CST9	0.0216897838643992	0	0	-3.33947487693507	9.71207529578355e-24	FALSE	0.625867697078985
S100A8	0.244337682198703	0	0	2.73554710992316	4.14188324668112e-23	FALSE	0.621522958614496
SLC6A11	0.176493001737543	0	0	2.91855497939637	1.11936740448814e-36	FALSE	0.621469867784051
LPO	0.353846141917178	0	0	2.43024472881167	7.83721198903682e-58	FALSE	0.608224447895909
TMC5	0.0695792364025719	0	0	-3.19496778037644	8.10786531469209e-34	FALSE	0.605200856566689
KCNK5	0.296863622545353	0	0	2.57543682592716	8.67561437573939e-50	FALSE	0.596677046367173
GRIK3	0.0765322677964708	0	0	-3.15838934179752	7.65742370778519e-37	FALSE	0.581131167342631
TCAM1P	0.0902534568839563	0.00273475584509583	0	3.03721530459962	1.3264826063003e-49	FALSE	0.574974822480825
REEP6	0.14005235822665	0	0	-2.97130189330659	4.07507918254632e-53	FALSE	0.559912692295596
SOX11	0.144526702138963	0	0	2.95711585477225	1.24122626319055e-38	FALSE	0.557056964618549
SLC15A2	0.203214041001303	0.0404423656145312	0	1.61940807885065	6.00479195782335e-21	FALSE	0.553983873274897
KRT6A	0.16915489485283	0	0	2.88826952221852	2.63541293660941e-19	FALSE	0.553816870151386
GFRA3	0.174714365681831	0	0	2.87059182759773	2.65218260398772e-49	FALSE	0.550199365333253
CRABP1	0.0734606142026896	0	0	3.1292315513977	5.32397936989127e-20	FALSE	0.530550434646369
SLC30A8	0.0739294927161788	0	0	-3.12600049894197	1.93014363327725e-17	FALSE	0.527894771669641
JAKMIP3	0.120822595745901	-0.0497605293946641	0	-1.5482030448825	3.15615001661043e-22	FALSE	0.523873743815191
KCNF1	0.102966326555975	-0.0529667231233303	0	-1.50142553513754	5.36863418834748e-10	FALSE	0.521662945282719
PTCHD1	0.17138623866453	0	0	2.85210247020826	5.40391927386069e-32	FALSE	0.513094764486102
MUC16	0.0809298050819776	0	0	3.09425232876711	2.23257990012033e-22	FALSE	0.510522090158695
CDCA7	0.206050531870902	0	0	2.75580397148902	4.47289131191542e-49	FALSE	0.509348881918708
SLC26A9	0.162558872996207	0	0	2.86598831050228	2.38290619709711e-56	FALSE	0.49968046859266
ZMYND10	0.12665936244509	0	0	-2.95810498496493	5.03819597982961e-49	FALSE	0.493275842260896
AKR1E2	0.462211252869015	0	0	2.0483907072057	3.69849740152609e-35	FALSE	0.487353597322723
GREB1	0.0524491101972937	0	0	-3.14085141775251	3.10127582866207e-51	FALSE	0.469670380435833
BPIL1	0.052734353501197	0	0	-3.13795334224301	8.1235183160116e-24	FALSE	0.466795244830609
SMOC1	0.224069922421792	0	0	2.67315552065932	9.78899553246915e-29	FALSE	0.463379308726889
TLX1	0.0701191517426225	0	0	3.0835342421205	8.02497531758032e-40	FALSE	0.456644920786997
ACOX2	0.194775866733727	0	0	-2.7447179574563	7.31011101753353e-46	FALSE	0.453283635247857
CAPN13	0.0770908106195524	0	0	-3.0595724044994	2.6949427381382e-39	FALSE	0.449685535963366
SERPINA5	0.110688403618321	0	0	-2.96583867245794	3.96387009387842e-28	FALSE	0.445516550614743
SBSN	0.109026654646586	0	0	2.9693186657757	2.26092763850857e-35	FALSE	0.444161083950606
PADI2	0.237723300659658	0	0	2.60664843301036	8.47724260554003e-43	FALSE	0.42330151492077
DNAJC12	0.0833485685881032	0	0	-3.00527103018154	7.65129208568391e-45	FALSE	0.399141915557078
SLPI	0.246669032160817	0	0	2.5591304688718	1.70365320851334e-22	FALSE	0.39171715418022
SEZ6L	0.127940082352685	-0.0242859565171757	0	-2.16769726027398	3.99055587313044e-20	FALSE	0.385078497432797
MTHFD1L	0.612406037846149	0	0	1.5630682102684	2.95759062894018e-50	FALSE	0.3791658249447
CLEC3A	0.0235363115652345	0	0	-3.15035383673015	1.31627498658607e-10	FALSE	0.377133951670351
RET	0.145420351353503	0	0	-2.82067626907227	7.40584543295407e-33	FALSE	0.376012211268246
AQP5	0.0819526497479551	0	0	2.98775702639492	2.46299035591436e-21	FALSE	0.370396717242088
